"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
109,05/11/15 06:32:18 PM,14.3448,69.622,,
110,05/11/15 06:37:18 PM,14.3477,69.622,,
111,05/11/15 06:42:18 PM,14.3492,69.622,,
112,05/11/15 06:47:18 PM,14.3492,69.622,,
113,05/11/15 06:52:18 PM,14.3492,69.622,,
114,05/11/15 06:57:18 PM,14.3492,69.622,,
115,05/11/15 07:02:18 PM,14.3492,69.622,,
116,05/11/15 07:07:18 PM,14.3492,69.622,,
117,05/11/15 07:12:18 PM,14.3506,69.622,,
118,05/11/15 07:17:18 PM,14.3506,69.622,,
119,05/11/15 07:22:18 PM,14.3519,69.622,,
120,05/11/15 07:27:18 PM,14.3519,69.622,,
121,05/11/15 07:32:18 PM,14.3534,69.622,,
122,05/11/15 07:37:18 PM,14.3545,69.449,,
123,05/11/15 07:42:18 PM,14.3573,69.449,,
124,05/11/15 07:47:18 PM,14.3573,69.449,,
125,05/11/15 07:52:18 PM,14.3587,69.449,,
126,05/11/15 07:57:18 PM,14.3602,69.449,,
127,05/11/15 08:02:18 PM,14.3602,69.449,,
128,05/11/15 08:07:18 PM,14.3602,69.449,,
129,05/11/15 08:12:18 PM,14.3587,69.449,,
130,05/11/15 08:17:18 PM,14.3587,69.449,,
131,05/11/15 08:22:18 PM,14.3616,69.449,,
132,05/11/15 08:27:18 PM,14.3587,69.449,,
133,05/11/15 08:32:18 PM,14.3616,69.449,,
134,05/11/15 08:37:18 PM,14.3616,69.449,,
135,05/11/15 08:42:18 PM,14.3631,69.449,,
136,05/11/15 08:47:18 PM,14.3616,69.449,,
137,05/11/15 08:52:18 PM,14.3631,69.449,,
138,05/11/15 08:57:18 PM,14.3660,69.449,,
139,05/11/15 09:02:18 PM,14.3660,69.449,,
140,05/11/15 09:07:18 PM,14.3674,69.449,,
141,05/11/15 09:12:18 PM,14.3689,69.449,,
142,05/11/15 09:17:18 PM,14.3689,69.449,,
143,05/11/15 09:22:18 PM,14.3689,69.449,,
144,05/11/15 09:27:18 PM,14.3702,69.449,,
145,05/11/15 09:32:18 PM,14.3702,69.449,,
146,05/11/15 09:37:18 PM,14.3716,69.449,,
147,05/11/15 09:42:18 PM,14.3731,69.449,,
148,05/11/15 09:47:18 PM,14.3731,69.449,,
149,05/11/15 09:52:18 PM,14.3760,69.449,,
150,05/11/15 09:57:18 PM,14.3760,69.449,,
151,05/11/15 10:02:18 PM,14.3774,69.449,,
152,05/11/15 10:07:18 PM,14.3760,69.449,,
153,05/11/15 10:12:18 PM,14.3774,69.449,,
154,05/11/15 10:17:18 PM,14.3774,69.449,,
155,05/11/15 10:22:18 PM,14.3774,69.449,,
156,05/11/15 10:27:18 PM,14.3774,69.449,,
157,05/11/15 10:32:18 PM,14.3789,69.449,,
158,05/11/15 10:37:18 PM,14.3789,69.449,,
159,05/11/15 10:42:18 PM,14.3774,69.449,,
160,05/11/15 10:47:18 PM,14.3770,69.278,,
161,05/11/15 10:52:18 PM,14.3756,69.278,,
162,05/11/15 10:57:18 PM,14.3756,69.278,,
163,05/11/15 11:02:18 PM,14.3743,69.278,,
164,05/11/15 11:07:18 PM,14.3745,69.449,,
165,05/11/15 11:12:18 PM,14.3745,69.449,,
166,05/11/15 11:17:18 PM,14.3760,69.449,,
167,05/11/15 11:22:18 PM,14.3728,69.278,,
168,05/11/15 11:27:18 PM,14.3745,69.449,,
169,05/11/15 11:32:18 PM,14.3774,69.449,,
170,05/11/15 11:37:18 PM,14.3760,69.449,,
171,05/11/15 11:42:18 PM,14.3745,69.449,,
172,05/11/15 11:47:18 PM,14.3760,69.449,,
173,05/11/15 11:52:18 PM,14.3760,69.449,,
174,05/11/15 11:57:18 PM,14.3760,69.449,,
175,05/12/15 12:02:18 AM,14.3760,69.449,,
176,05/12/15 12:07:18 AM,14.3745,69.449,,
